Text#,Type,Issued,Title,Language,Authors,Subjects,LoCC,Bookshelves
320,Text,1995-09-01,Vida De Lazarillo De Tormes Y De Sus Fortunas Y Adversidades,es,Anonymous,"Spanish fiction; Spain -- Social conditions -- 16th century -- Fiction; Picaresque literature, Spanish",PQ,6 Best Loved Spanish Literary Classics; Browsing: Culture/Civilization/Society; Browsing: Literature; Browsing: Fiction
1619,Text,1999-01-01,La Celestina,es,"Rojas, Fernando de, -1541",Spanish fiction,PQ,6 Best Loved Spanish Literary Classics; Browsing: Culture/Civilization/Society; Browsing: Literature; Browsing: Fiction
2000,Text,1999-12-01,Don Quijote,es,"Cervantes Saavedra, Miguel de, 1547-1616",Spain -- Social life and customs -- 16th century -- Fiction; Knights and knighthood -- Spain -- Fiction; Picaresque literature; Romances,PQ,Best Books Ever Listings; Harvard Classics; 6 Best Loved Spanish Literary Classics; Browsing: Culture/Civilization/Society; Browsing: Literature; Browsing: Fiction
2367,Text,2000-10-01,Los Bombardeos Atomicos de Hiroshima y Nagasaki,es,United States. Army. Corps of Engineers. Manhattan District,"Atomic bomb -- Blast effect; Atomic bomb -- Physiological effect; Hiroshima-shi (Japan) -- History -- Bombardment, 1945; Nagasaki-shi (Japan) -- History -- Bombardment, 1945",D731,Browsing: History - General; Browsing: History - Warfare
5201,Text,2004-03-01,Don Juan Tenorio,en; es,"Zorrilla, José, 1817-1893; Kline, A. S., 1947- [Translator]; Mayberry, Nancy [Translator]","Juan, Don (Legendary character) -- Drama",PQ,6 Best Loved Spanish Literary Classics; Browsing: Literature; Browsing: Fiction
5877,Text,2004-06-01,"Reina Valera New Testament of the Bible 1602, Book of Matthew",es,"Reina, Casiodoro de, 1520?-1594 [Translator]; Valera, Cipriano de, 1532?-1625 [Translator]",Bible. New Testament,BS,Christianity; Browsing: Philosophy & Ethics; Browsing: Religion/Spirituality/Paranormal
5878,Text,2004-06-01,Reina Valera New Testament of the Bible 1858,es,"Reina, Casiodoro de, 1520?-1594 [Translator]; Valera, Cipriano de, 1532?-1625 [Translator]",Bible. New Testament,BS,Christianity; Browsing: Philosophy & Ethics; Browsing: Religion/Spirituality/Paranormal
5879,Text,2004-06-01,Reina Valera New Testament of the Bible 1862,es,"Reina, Casiodoro de, 1520?-1594 [Translator]; Valera, Cipriano de, 1532?-1625 [Translator]",Bible. New Testament,BS,Christianity; Browsing: Philosophy & Ethics; Browsing: Religion/Spirituality/Paranormal
5880,Text,2004-06-01,Reina Valera New Testament of the Bible 1865,es,"Reina, Casiodoro de, 1520?-1594 [Translator]; Valera, Cipriano de, 1532?-1625 [Translator]",Bible. New Testament,BS,Christianity; Browsing: History - Religious; Browsing: Philosophy & Ethics; Browsing: Religion/Spirituality/Paranormal
5881,Text,2004-06-01,Reina Valera New Testament of the Bible 1909,es,"Reina, Casiodoro de, 1520?-1594 [Translator]; Valera, Cipriano de, 1532?-1625 [Translator]",Bible. New Testament,BS,Christianity; Browsing: Philosophy & Ethics; Browsing: Religion/Spirituality/Paranormal
5985,Text,2004-06-01,"Zadig, ó El Destino, Historia Oriental",es,"Voltaire, 1694-1778","Manners and customs -- Fiction; French literature -- 18th century; Political fiction, French",PQ,Browsing: Culture/Civilization/Society; Browsing: Literature; Browsing: Fiction
6528,Text,2004-09-01,Sagradas Escrituras Version Antigua,es,"Stendal, Russell, 1955-",Bible,BS,Browsing: Philosophy & Ethics; Browsing: Religion/Spirituality/Paranormal
7109,Text,2004-12-01,"Candido, o El Optimismo",es,"Voltaire, 1694-1778",Satire; Optimism -- Fiction,PQ,Browsing: Humour; Browsing: Literature; Browsing: Fiction
8870,Text,2005-09-01,"La Mejor Cocinera, Recetas de Cocina",es,Calleja (pseudonym),Cooking,TX,Cookbooks and Cooking; Browsing: Cooking & Drinking
9890,Text,2006-02-01,"Biografia del libertador Simon Bolívar, ó La independencia de la América del sud
Reseña histórico-biográfica",es,"Campano, Lorenzo","Bolívar, Simón, 1783-1830; South America -- History -- Wars of Independence, 1806-1830; Heads of state -- South America -- Biography",F2201,Browsing: Biographies; Browsing: History - American
